duty_date,rotation_type,area,department,facility_name,phone,start_time,end_time,note
2026-06-07,duty_doctor,飯田地区,内科,源田内科医院,0265-24-1550,09:00,18:00,
2026-06-07,duty_doctor,飯田地区,小児科,健和会病院,0265-23-3115,09:00,18:00,
2026-06-07,duty_doctor,飯田地区,外科,慶友整形外科,0265-52-1152,09:00,18:00,
2026-06-07,duty_doctor,飯田地区,産婦人科,飯田市立病院,0265-21-1255,09:00,12:00,
2026-06-14,duty_doctor,飯田地区,内科,まるやまファミリークリニック,0265-32-1666,09:00,18:00,
2026-06-14,duty_doctor,飯田地区,小児科,まるやまファミリークリニック,0265-32-1666,09:00,18:00,
2026-06-14,duty_doctor,飯田地区,産婦人科,飯田市立病院,0265-21-1255,09:00,12:00,
2026-06-21,duty_doctor,飯田地区,内科,羽生循環器科内科,0265-24-1250,09:00,18:00,
2026-06-21,duty_doctor,飯田地区,小児科,久田小児科医院,0265-22-0379,09:00,18:00,
2026-06-21,duty_doctor,飯田地区,外科,慶友整形外科,0265-52-1152,09:00,18:00,
2026-06-21,duty_doctor,飯田地区,産婦人科,飯田市立病院,0265-21-1255,09:00,12:00,
2026-06-28,duty_doctor,飯田地区,内科,健和会病院,0265-23-3115,09:00,18:00,
2026-06-28,duty_doctor,飯田地区,小児科,健和会病院,0265-23-3115,09:00,18:00,
2026-06-28,duty_doctor,飯田地区,外科,健和会病院,0265-23-3115,09:00,18:00,
2026-06-28,duty_doctor,飯田地区,産婦人科,飯田市立病院,0265-21-1255,09:00,12:00,
2026-06-07,duty_doctor,阿南地区,,阿南病院,0260-22-2121,09:00,18:00,AM小児科対応可
2026-06-14,duty_doctor,阿南地区,,長野県立阿南病院,0260-22-2121,09:00,18:00,
2026-06-14,duty_doctor,阿南地区,,新野へき地診療所,0260-24-3022,09:00,18:00,
2026-06-21,duty_doctor,阿南地区,,長野県立阿南病院,0260-22-2121,09:00,18:00,
2026-06-28,duty_doctor,阿南地区,,長野県立阿南病院,0260-22-2121,09:00,18:00,
2026-06-28,duty_doctor,阿南地区,,富草へき地診療所,090-1869-4448,09:00,18:00,
2026-06-07,duty_dentist,飯田地区,歯科,いずみ歯科クリニック（鼎）,0265-53-4182,09:00,12:00,11時までの電話予約者のみ
2026-06-14,duty_dentist,飯田地区,歯科,小林歯科・矯正歯科クリニック（高森町）,0265-35-2316,09:00,12:00,11時までの電話予約者のみ
2026-06-21,duty_dentist,飯田地区,歯科,しぶさか歯科クリニック（高森町）,0265-35-1300,09:00,12:00,11時までの電話予約者のみ
2026-06-28,duty_dentist,飯田地区,歯科,しまだ歯科クリニック（大瀬木）,0265-32-1182,09:00,12:00,11時までの電話予約者のみ
2026-06-07,duty_pharmacy,飯田地区,,おおみやのサンピア薬局,0265-49-8151,09:00,18:00,
2026-06-07,duty_pharmacy,飯田地区,,かなえひまわり薬局,0265-56-8177,09:00,18:00,
2026-06-07,duty_pharmacy,飯田地区,,クオールまるやま薬局,0265-59-8989,09:00,13:00,
2026-06-07,duty_pharmacy,飯田地区,,つばさ薬局,0265-35-9040,09:00,13:00,
2026-06-14,duty_pharmacy,飯田地区,,大瀬木薬局,0265-25-9254,09:00,18:00,
2026-06-14,duty_pharmacy,飯田地区,,ははのサンピア薬局,0265-48-0402,09:00,13:00,
2026-06-14,duty_pharmacy,飯田地区,,林薬局,0265-27-3073,09:00,13:00,
2026-06-21,duty_pharmacy,飯田地区,,ともえ一色薬局,0265-22-0766,09:00,18:00,
2026-06-21,duty_pharmacy,飯田地区,,ハロー薬局飯田松尾店,0265-21-5011,09:00,13:00,
2026-06-21,duty_pharmacy,飯田地区,,はらまち薬局,0265-34-3261,09:00,13:00,
2026-06-28,duty_pharmacy,飯田地区,,かなえひまわり薬局,0265-56-8177,09:00,18:00,
2026-06-28,duty_pharmacy,飯田地区,,まるやまサンピア薬局,0265-52-5959,09:00,13:00,
2026-06-28,duty_pharmacy,飯田地区,,ともえ伊賀良薬局,0265-56-6201,09:00,13:00,
